,player_position,now_cost,player_name,teams_name,expected_goals,expected_assists,expected_goals_conceded,minutes,team_xgc_per_game,mean_strength,expected_points
8,GKP,50,Pope,Newcastle,0.0,0.0,1.05,90.0,1.23,2.0,1.28
10,GKP,46,Sels,Nott'm Forest,0.0,0.0,1.12,90.0,1.1,2.67,1.37
12,DEF,51,Romero,Spurs,0.01,0.03,0.96,90.0,1.05,2.0,1.68
9,DEF,54,Schär,Newcastle,0.06,0.02,1.05,90.0,1.23,2.0,1.73
5,DEF,53,Konaté,Liverpool,0.0,0.01,0.77,90.0,0.96,1.67,1.76
13,DEF,49,Udogie,Spurs,0.06,0.06,0.83,87.0,1.05,2.0,2.03
11,DEF,55,Pedro Porro,Spurs,0.05,0.11,0.96,90.0,1.05,2.0,2.17
14,MID,56,Georginio,Brighton,0.19,0.23,1.65,73.0,1.92,1.67,1.64
6,MID,93,Foden,Man City,0.1,0.44,0.21,77.0,1.54,2.67,1.8
0,MID,101,Saka,Arsenal,0.23,0.25,0.53,90.0,1.2,2.33,2.35
3,MID,110,Palmer,Chelsea,0.38,0.17,1.11,90.0,1.71,2.75,2.66
7,MID,72,Gordon,Newcastle,0.49,0.14,0.72,84.0,1.23,2.0,3.25
1,FWD,91,Watkins,Aston Villa,0.4,0.06,1.12,81.0,1.5,4.0,1.44
2,FWD,59,Welbeck,Brighton,0.42,0.01,1.65,80.0,1.92,1.67,1.72
4,FWD,57,Vardy,Leicester,0.46,0.01,1.73,90.0,2.86,2.33,1.99
