,player_position,now_cost,player_name,teams_name,expected_goals,expected_assists,expected_goals_conceded,minutes,team_xgc_per_game,mean_strength,total_points,expected_points
6,GKP,45,Henderson,Crystal Palace,0.0,0.0,1.24,90.0,1.25,2.25,6.0,1.23
9,GKP,43,Dúbravka,Newcastle,0.0,0.0,0.95,90.0,1.28,1.25,6.0,1.31
12,DEF,54,Aina,Nott'm Forest,0.0,0.01,0.9,90.0,1.51,2.5,6.0,0.95
5,DEF,45,Guéhi,Crystal Palace,0.0,0.01,1.24,90.0,1.25,2.25,7.0,1.26
7,DEF,48,Muñoz,Crystal Palace,0.0,0.09,1.24,90.0,1.25,2.25,6.0,1.47
2,DEF,48,Kerkez,Bournemouth,0.0,0.08,0.79,90.0,1.08,1.75,6.0,1.75
3,DEF,44,Chalobah,Chelsea,0.1,0.01,0.86,90.0,1.35,2.25,6.0,1.78
13,MID,64,Gibbs-White,Nott'm Forest,0.2,0.08,0.87,82.0,1.51,2.5,6.0,1.4
0,MID,68,Trossard,Arsenal,0.15,0.07,0.57,90.0,0.82,1.5,6.0,1.61
10,MID,77,Gordon,Newcastle,0.31,0.17,0.81,77.0,1.28,1.25,7.0,2.35
4,MID,113,Palmer,Chelsea,0.21,0.41,1.18,90.0,1.35,2.25,10.0,2.73
8,MID,93,Foden,Man City,0.55,0.36,0.73,86.0,1.44,3.25,8.0,3.79
14,FWD,71,Wood,Nott'm Forest,0.32,0.02,0.87,86.0,1.51,2.5,9.0,1.34
1,FWD,89,Watkins,Aston Villa,0.46,0.05,1.13,90.0,1.49,2.5,8.0,2.09
11,FWD,95,Isak,Newcastle,0.83,0.07,0.81,90.0,1.28,1.25,7.0,4.15
